t,distance,v_raw,a_raw,dt,velocity_raw,acceleration_raw,distance_f,velocity_f,acceleration_f
0.061,21,0.0,,0.06,,,21.0,,
0.121,21,0.0,0.0,0.06,0.0,,21.0,0.0,
0.181,21,0.0,0.0,0.06,0.0,0.0,21.0,0.0,0.0
0.241,21,0.0,0.0,0.06,0.0,0.0,21.0,0.0,0.0
0.303,21,0.0,0.0,0.062,0.0,0.0,21.0,0.0,0.0
0.365,21,0.0,0.0,0.062,0.0,0.0,21.0,0.0,0.0
0.424,21,0.0,0.0,0.059,0.0,0.0,21.0,0.0,0.0
0.486,21,0.0,0.0,0.062,0.0,0.0,21.0,0.0,0.0
0.547,21,0.0,0.0,0.061000000000000054,0.0,0.0,21.0,0.0,0.0
0.609,21,0.0,0.0,0.061999999999999944,0.0,0.0,21.0,0.0,0.0
0.67,21,0.0,0.0,0.061000000000000054,0.0,0.0,21.0,0.0,0.0
0.73,21,0.0,0.0,0.05999999999999994,0.0,0.0,21.0,0.0,0.0
0.79,21,0.0,0.0,0.06000000000000005,0.0,0.0,21.0,0.0,0.0
0.851,21,0.0,0.0,0.06099999999999994,0.0,0.0,21.0,0.0,0.0
0.911,21,0.0,0.0,0.06000000000000005,0.0,0.0,21.0,0.0,0.0
0.972,21,0.0,0.0,0.06099999999999994,0.0,0.0,21.0,0.0,0.0
1.033,21,0.0,0.0,0.06099999999999994,0.0,0.0,21.0,0.0,0.0
1.094,21,0.0,0.0,0.061000000000000165,0.0,0.0,21.0,0.0,0.0
1.156,21,0.0,0.0,0.06199999999999983,0.0,0.0,21.0,0.0,0.0
1.218,21,0.0,0.0,0.062000000000000055,0.0,0.0,21.0,0.0,0.0
1.278,21,0.0,0.0,0.06000000000000005,0.0,0.0,21.0,0.0,0.0
1.338,21,0.0,0.0,0.06000000000000005,0.0,0.0,21.0,0.0,0.0
1.4,21,0.0,0.0,0.06199999999999983,0.0,0.0,21.0,0.0,0.0
1.46,21,0.0,0.0,0.06000000000000005,0.0,0.0,21.0,0.0,0.0
1.528,21,0.0,0.0,0.06800000000000006,0.0,0.0,21.0,0.0,0.0
1.595,21,0.0,0.0,0.06699999999999995,0.0,0.0,21.0,0.0,0.0
1.662,21,0.0,0.0,0.06699999999999995,0.0,0.0,21.0,0.0,0.0
1.722,21,0.0,0.0,0.06000000000000005,0.0,0.0,21.0,0.0,0.0
1.781,21,0.0,0.0,0.05899999999999994,0.0,0.0,21.0,0.0,0.0
1.844,21,0.0,0.0,0.06300000000000017,0.0,0.0,21.0,0.0,0.0
1.905,21,0.0,0.0,0.06099999999999994,0.0,0.0,21.0,0.0,0.0
1.967,21,0.0,0.0,0.062000000000000055,0.0,0.0,21.0,0.0,0.0
2.028,21,0.0,0.0,0.06099999999999994,0.0,0.0,21.0,0.0,0.0
2.088,21,0.0,0.0,0.06000000000000005,0.0,0.0,21.0,0.0,0.0
2.149,21,0.0,0.0,0.06099999999999994,0.0,0.0,21.0,0.0,0.0
2.21,21,0.0,0.0,0.06099999999999994,0.0,0.0,21.0,0.0,0.0
2.271,21,0.0,0.0,0.06099999999999994,0.0,0.0,21.0,0.0,0.0
2.332,21,0.0,0.0,0.06099999999999994,0.0,0.0,21.0,0.0,0.0
2.394,21,0.0,0.0,0.06200000000000028,0.0,0.0,21.0,0.0,0.0
2.454,21,0.0,0.0,0.06000000000000005,0.0,0.0,21.0,0.0,0.0
2.515,21,0.0,0.0,0.06099999999999994,0.0,0.0,20.857142857142858,-2.3419203747072537,-38.39213729028288
2.578,21,0.0,0.0,0.06299999999999972,0.0,0.0,20.714285714285715,-2.2675736961451265,1.1801060089226587
2.638,21,0.0,0.0,0.06000000000000005,0.0,0.0,20.571428571428573,-2.3809523809523703,-1.8896447467873947
2.699,20,-16.475969375930486,-271.45756687659923,0.06099999999999994,-16.393442622950836,-268.7449610319812,20.428571428571427,-2.341920374707312,0.639868954837024
2.758,20,0.0,279.94257461806626,0.05900000000000016,0.0,277.85495971103035,20.285714285714285,-2.4213075060532536,-1.3455445990837551
2.819,20,0.0,0.0,0.06099999999999994,0.0,0.0,20.142857142857142,-2.3419203747072537,1.3014283827213118
2.879,20,0.0,0.0,0.06000000000000005,0.0,0.0,20.0,-2.3809523809523703,-0.6505334374186095
2.939,20,0.0,0.0,0.06000000000000005,0.0,0.0,20.0,0.0,39.68253968253947
3.003,20,0.0,0.0,0.06400000000000006,0.0,0.0,19.857142857142858,-2.2321428571428474,-34.87723214285696
3.064,20,0.0,0.0,0.06099999999999994,0.0,0.0,19.714285714285715,-2.3419203747072537,-1.799631435482071
3.126,20,0.0,0.0,0.06199999999999983,0.0,0.0,19.571428571428573,-2.304147465437786,0.6092404720881893
3.186,19,-16.440900930564375,-270.30322340863256,0.06000000000000005,-16.666666666666654,-277.7777777777773,19.285714285714285,-4.7619047619048,-40.96262160778353
3.249,19,0.0,263.5077611425216,0.06300000000000017,0.0,264.55026455026365,19.142857142857142,-2.2675736961451105,39.592556599360044
3.311,19,0.0,0.0,0.06199999999999983,0.0,0.0,18.857142857142858,-4.608294930875572,-37.75356830210432
3.374,18,-15.916152167726022,-253.32389982620973,0.06300000000000017,-15.87301587301583,-251.9526329050125,18.571428571428573,-4.535147392290221,1.1610720410373152
3.438,19,15.572756705379154,490.3691167987218,0.06400000000000006,15.624999999999986,492.1564980158717,18.428571428571427,-2.232142857142903,35.98444586167681
3.498,18,-16.744463828750963,-541.1345302795096,0.06000000000000005,-16.666666666666654,-538.1944444444435,18.285714285714285,-2.3809523809523703,-2.4801587301577865
3.56,18,0.0,269.9327453379973,0.06199999999999983,0.0,268.8172043010758,18.0,-4.608294930875572,-35.924879837471096
3.62,18,0.0,0.0,0.06000000000000005,0.0,0.0,17.857142857142858,-2.3809523809523703,37.12237583205333
3.681,18,0.0,0.0,0.06099999999999994,0.0,0.0,17.571428571428573,-4.683840749414507,-37.7522683354449
3.744,17,-15.786517319121227,-249.2141290669145,0.06300000000000017,-15.87301587301583,-251.9526329050125,17.428571428571427,-2.267573696145167,38.35344528998943
3.806,17,0.0,257.1416194986347,0.06199999999999983,0.0,256.01638504864314,17.285714285714285,-2.304147465437786,-0.589899504719665
3.866,17,0.0,0.0,0.06000000000000005,0.0,0.0,17.142857142857142,-2.3809523809523703,-1.2800819252430695
3.928,17,0.0,0.0,0.06199999999999983,0.0,0.0,17.0,-2.304147465437786,1.2387889599126523
3.992,17,0.0,0.0,0.06400000000000006,0.0,0.0,16.857142857142858,-2.2321428571428474,1.1250720046084146
4.054,17,0.0,0.0,0.06200000000000028,0.0,0.0,16.714285714285715,-2.3041474654377696,-1.1613646499180943
4.115,17,0.0,0.0,0.06099999999999994,0.0,0.0,16.571428571428573,-2.3419203747072537,-0.6192280208112148
4.177,16,-16.057395092780823,-257.83993716566164,0.06199999999999939,-16.129032258064676,-260.1456815816909,16.428571428571427,-2.3041474654378598,0.6092404720870047
4.239,16,0.0,259.17646604799114,0.06200000000000028,0.0,260.14568158168714,16.142857142857142,-4.608294930875539,-37.16366879738176
4.299,16,0.0,0.0,0.0600000000000005,0.0,0.0,15.857142857142858,-4.761904761904706,-2.5601638504860906
4.361,16,0.0,0.0,0.06199999999999939,0.0,0.0,15.571428571428571,-4.608294930875633,2.477577919823775
4.42,15,-17.040803143016173,-290.3889717590299,0.05900000000000016,-16.949152542372833,-287.27377190462346,15.285714285714286,-4.842615012106507,-3.971526800523275
4.48,15,0.0,281.8998946378959,0.0600000000000005,0.0,282.4858757062115,15.0,-4.761904761904735,1.3451708366961892
4.541,15,0.0,0.0,0.06099999999999994,0.0,0.0,14.714285714285714,-4.683840749414537,1.2797379096753876
4.601,14,-16.55511260923451,-274.07175350443543,0.05999999999999961,-16.666666666666774,-277.7777777777814,14.428571428571429,-4.761904761904776,-1.3010668748373322
4.662,14,0.0,273.769191186366,0.06099999999999994,0.0,273.224043715849,14.285714285714286,-2.3419203747072537,39.67187519995942
4.724,14,0.0,0.0,0.06200000000000028,0.0,0.0,14.0,-4.608294930875568,-36.55442832529522
4.785,14,0.0,0.0,0.06099999999999994,0.0,0.0,13.714285714285714,-4.683840749414537,-1.2384560416224442
4.845,14,0.0,0.0,0.05999999999999961,0.0,0.0,13.571428571428571,-2.380952380952388,38.38147280770273
4.906,13,-16.249182563419133,-264.03593397932434,0.06099999999999994,-16.393442622950836,-268.7449610319812,13.428571428571429,-2.3419203747072537,0.6398689548382689
4.967,13,0.0,269.2004306261321,0.06099999999999994,0.0,268.7449610319812,13.285714285714286,-2.3419203747072537,0.0
5.026,13,0.0,0.0,0.05900000000000016,0.0,0.0,13.142857142857142,-2.4213075060532834,-1.3455445990852455
5.085,13,0.0,0.0,0.05900000000000016,0.0,0.0,13.0,-2.4213075060532536,5.043046959314257e-13
5.146,13,0.0,0.0,0.06099999999999994,0.0,0.0,13.0,0.0,39.693565673004194
5.207,13,0.0,0.0,0.06099999999999994,0.0,0.0,13.0,0.0,0.0
5.268,13,0.0,0.0,0.06099999999999994,0.0,0.0,13.0,0.0,0.0
5.332,13,0.0,0.0,0.06400000000000006,0.0,0.0,12.857142857142858,-2.2321428571428474,-34.87723214285696
5.392,13,0.0,0.0,0.0600000000000005,0.0,0.0,12.857142857142858,0.0,37.20238095238048
5.453,13,0.0,0.0,0.06099999999999994,0.0,0.0,12.857142857142858,0.0,0.0
5.515,12,-16.219962952793814,-263.08719819000385,0.06199999999999939,-16.129032258064676,-260.1456815816909,12.714285714285714,-2.3041474654378313,-37.163668797384744
5.576,13,16.352891179669925,532.6603390394413,0.06099999999999994,16.393442622950836,533.1553259182875,12.571428571428571,-2.3419203747072537,-0.6192280208102029
5.638,13,0.0,-264.06281886640465,0.06200000000000028,0.0,-264.4103648863026,12.428571428571429,-2.3041474654377696,0.60924047208845
5.7,12,-16.189598338698595,-262.1030943683923,0.06200000000000028,-16.129032258064445,-260.14568158168345,12.142857142857142,-4.608294930875568,-37.16366879738367
5.76,12,0.0,269.57409493833467,0.05999999999999961,0.0,268.81720430107583,11.857142857142858,-4.761904761904776,-2.5601638504868243
5.822,12,0.0,0.0,0.06200000000000028,0.0,0.0,11.428571428571429,-6.912442396313337,-34.686090877557284
5.882,11,-16.434136956888008,-270.0808575177522,0.05999999999999961,-16.666666666666774,-277.7777777777814,11.0,-7.142857142857194,-3.8402457757309687
5.943,10,-16.43072487386004,0.0560629974793026,0.06099999999999994,-16.393442622950836,4.479082683867846,10.714285714285714,-4.683840749414537,40.311744154797694
6.004,10,0.0,270.7121198460573,0.06099999999999994,0.0,268.7449610319812,10.285714285714286,-7.025761124121761,-38.3921372902824
6.067,10,0.0,0.0,0.06300000000000061,0.0,0.0,9.857142857142858,-6.802721088435312,3.540318026768991
6.129,10,0.0,0.0,0.06199999999999939,0.0,0.0,9.571428571428571,-4.608294930875633,35.39397028322098
6.192,9,-15.930358160203578,-253.77631111236477,0.06300000000000061,-15.873015873015719,-251.95263290500895,9.428571428571429,-2.2675736961450945,37.154305313182796
6.254,9,0.0,255.41967366769563,0.06199999999999939,0.0,256.01638504864314,9.285714285714286,-2.3041474654378025,-0.5898995047211018
6.316,9,0.0,0.0,0.06200000000000028,0.0,0.0,9.0,-4.608294930875568,-37.163668797383146
6.378,9,0.0,0.0,0.06200000000000028,0.0,0.0,8.714285714285714,-4.608294930875568,0.0
6.438,9,0.0,0.0,0.05999999999999961,0.0,0.0,8.428571428571429,-4.761904761904776,-2.5601638504868243
6.499,8,-16.55060511476859,-273.92252966500416,0.06099999999999994,-16.393442622950836,-268.7449610319812,8.285714285714286,-2.3419203747072537,39.67187519995942
6.559,8,0.0,274.9968080056663,0.0600000000000005,0.0,273.224043715845,8.0,-4.761904761904735,-40.33307311995769
6.62,7,-16.43561811313657,-270.1295427608629,0.06099999999999994,-16.393442622950836,-268.7449610319812,7.714285714285714,-4.683840749414522,1.2797379096756205
6.68,8,16.49878254575779,543.3775147459602,0.05999999999999961,16.666666666666774,551.0018214936305,7.285714285714286,-7.142857142857194,-40.983606557378124
6.743,7,-16.0091605151263,-520.4248784782795,0.06300000000000061,-15.873015873015719,-516.5028974552727,7.142857142857143,-2.2675736961450945,77.38545153511194
6.803,7,0.0,266.4426816971926,0.05999999999999961,0.0,264.5502645502637,6.857142857142857,-4.761904761904805,-41.572184429328786
6.865,6,-16.1207779229764,-259.87948084192334,0.06200000000000028,-16.129032258064445,-260.14568158168345,6.714285714285714,-2.3041474654377696,39.64124671721008
6.927,7,16.238047858893307,525.444161703591,0.06199999999999939,16.129032258064676,520.2913631633782,6.428571428571429,-4.608294930875619,-37.163668797385036
