t (s),x_raw (cm),v_raw (cm/s),a_raw (cm/s²)
0.001,21,nan,nan
0.061,21,0.0,nan
0.121,21,0.0,0.0
0.181,21,0.0,0.0
0.241,21,0.0,0.0
0.303,21,0.0,0.0
0.365,21,0.0,0.0
0.424,21,0.0,0.0
0.486,21,0.0,0.0
0.547,21,0.0,0.0
0.609,21,0.0,0.0
0.67,21,0.0,0.0
0.73,21,0.0,0.0
0.79,21,0.0,0.0
0.851,21,0.0,0.0
0.911,21,0.0,0.0
0.972,21,0.0,0.0
1.033,21,0.0,0.0
1.094,21,0.0,0.0
1.156,21,0.0,0.0
1.218,21,0.0,0.0
1.278,21,0.0,0.0
1.338,21,0.0,0.0
1.4,21,0.0,0.0
1.46,21,0.0,0.0
1.528,21,0.0,0.0
1.595,21,0.0,0.0
1.662,21,0.0,0.0
1.722,21,0.0,0.0
1.781,21,0.0,0.0
1.844,21,0.0,0.0
1.905,21,0.0,0.0
1.967,21,0.0,0.0
2.028,21,0.0,0.0
2.088,21,0.0,0.0
2.149,21,0.0,0.0
2.21,21,0.0,0.0
2.271,21,0.0,0.0
2.332,21,0.0,0.0
2.394,21,0.0,0.0
2.454,21,0.0,0.0
2.515,21,0.0,0.0
2.578,21,0.0,0.0
2.638,21,0.0,0.0
2.699,20,-16.475969375930486,-271.45756687659923
2.758,20,0.0,279.94257461806626
2.819,20,0.0,0.0
2.879,20,0.0,0.0
2.939,20,0.0,0.0
3.003,20,0.0,0.0
3.064,20,0.0,0.0
3.126,20,0.0,0.0
3.186,19,-16.440900930564375,-270.30322340863256
3.249,19,0.0,263.50776114252153
3.311,19,0.0,0.0
3.374,18,-15.916152167726022,-253.32389982620975
3.438,19,15.572756705379154,490.3691167987218
3.498,18,-16.744463828750963,-541.1345302795096
3.56,18,0.0,269.9327453379973
3.62,18,0.0,0.0
3.681,18,0.0,0.0
3.744,17,-15.786517319121229,-249.2141290669145
3.806,17,0.0,257.1416194986347
3.866,17,0.0,0.0
3.928,17,0.0,0.0
3.992,17,0.0,0.0
4.054,17,0.0,0.0
4.115,17,0.0,0.0
4.177,16,-16.057395092780823,-257.83993716566164
4.239,16,0.0,259.17646604799114
4.299,16,0.0,0.0
4.361,16,0.0,0.0
4.42,15,-17.040803143016173,-290.3889717590299
4.48,15,0.0,281.8998946378959
4.541,15,0.0,0.0
4.601,14,-16.55511260923451,-274.07175350443543
4.662,14,0.0,273.76919118636596
4.724,14,0.0,0.0
4.785,14,0.0,0.0
4.845,14,0.0,0.0
4.906,13,-16.249182563419133,-264.03593397932434
4.967,13,0.0,269.2004306261321
5.026,13,0.0,0.0
5.085,13,0.0,0.0
5.146,13,0.0,0.0
5.207,13,0.0,0.0
5.268,13,0.0,0.0
5.332,13,0.0,0.0
5.392,13,0.0,0.0
5.453,13,0.0,0.0
5.515,12,-16.219962952793814,-263.08719819000385
